unique_id;ds;y
422879e10f46682990de24d770e7f83d;2017-01-09;0
422879e10f46682990de24d770e7f83d;2017-01-16;0
422879e10f46682990de24d770e7f83d;2017-01-23;0
422879e10f46682990de24d770e7f83d;2017-01-30;0
422879e10f46682990de24d770e7f83d;2017-02-06;0
422879e10f46682990de24d770e7f83d;2017-02-13;0
422879e10f46682990de24d770e7f83d;2017-02-20;0
422879e10f46682990de24d770e7f83d;2017-02-27;0
422879e10f46682990de24d770e7f83d;2017-03-06;0
422879e10f46682990de24d770e7f83d;2017-03-13;0
422879e10f46682990de24d770e7f83d;2017-03-20;0
422879e10f46682990de24d770e7f83d;2017-03-27;0
422879e10f46682990de24d770e7f83d;2017-04-03;0
422879e10f46682990de24d770e7f83d;2017-04-10;0
422879e10f46682990de24d770e7f83d;2017-04-17;0
422879e10f46682990de24d770e7f83d;2017-04-24;0
422879e10f46682990de24d770e7f83d;2017-05-01;1
422879e10f46682990de24d770e7f83d;2017-05-08;2
422879e10f46682990de24d770e7f83d;2017-05-15;0
422879e10f46682990de24d770e7f83d;2017-05-22;0
422879e10f46682990de24d770e7f83d;2017-05-29;1
422879e10f46682990de24d770e7f83d;2017-06-05;0
422879e10f46682990de24d770e7f83d;2017-06-12;1
422879e10f46682990de24d770e7f83d;2017-06-19;0
422879e10f46682990de24d770e7f83d;2017-06-26;0
422879e10f46682990de24d770e7f83d;2017-07-03;0
422879e10f46682990de24d770e7f83d;2017-07-10;0
422879e10f46682990de24d770e7f83d;2017-07-17;13
422879e10f46682990de24d770e7f83d;2017-07-24;1
422879e10f46682990de24d770e7f83d;2017-07-31;6
422879e10f46682990de24d770e7f83d;2017-08-07;9
422879e10f46682990de24d770e7f83d;2017-08-14;14
422879e10f46682990de24d770e7f83d;2017-08-21;0
422879e10f46682990de24d770e7f83d;2017-08-28;16
422879e10f46682990de24d770e7f83d;2017-09-04;6
422879e10f46682990de24d770e7f83d;2017-09-11;16
422879e10f46682990de24d770e7f83d;2017-09-18;4
422879e10f46682990de24d770e7f83d;2017-09-25;5
422879e10f46682990de24d770e7f83d;2017-10-02;18
422879e10f46682990de24d770e7f83d;2017-10-09;4
422879e10f46682990de24d770e7f83d;2017-10-16;10
422879e10f46682990de24d770e7f83d;2017-10-23;5
422879e10f46682990de24d770e7f83d;2017-10-30;9
422879e10f46682990de24d770e7f83d;2017-11-06;7
422879e10f46682990de24d770e7f83d;2017-11-13;7
422879e10f46682990de24d770e7f83d;2017-11-20;59
422879e10f46682990de24d770e7f83d;2017-11-27;13
422879e10f46682990de24d770e7f83d;2017-12-04;11
422879e10f46682990de24d770e7f83d;2017-12-11;18
422879e10f46682990de24d770e7f83d;2017-12-18;7
422879e10f46682990de24d770e7f83d;2017-12-25;13
422879e10f46682990de24d770e7f83d;2018-01-01;1
422879e10f46682990de24d770e7f83d;2018-01-08;3
422879e10f46682990de24d770e7f83d;2018-01-15;3
422879e10f46682990de24d770e7f83d;2018-01-22;3
422879e10f46682990de24d770e7f83d;2018-01-29;4
422879e10f46682990de24d770e7f83d;2018-02-05;14
422879e10f46682990de24d770e7f83d;2018-02-12;17
422879e10f46682990de24d770e7f83d;2018-02-19;3
422879e10f46682990de24d770e7f83d;2018-02-26;8
422879e10f46682990de24d770e7f83d;2018-03-05;5
422879e10f46682990de24d770e7f83d;2018-03-12;6
422879e10f46682990de24d770e7f83d;2018-03-19;7
422879e10f46682990de24d770e7f83d;2018-03-26;8
422879e10f46682990de24d770e7f83d;2018-04-02;3
422879e10f46682990de24d770e7f83d;2018-04-09;7
422879e10f46682990de24d770e7f83d;2018-04-16;21
422879e10f46682990de24d770e7f83d;2018-04-23;12
422879e10f46682990de24d770e7f83d;2018-04-30;27
422879e10f46682990de24d770e7f83d;2018-05-07;6
422879e10f46682990de24d770e7f83d;2018-05-14;16
422879e10f46682990de24d770e7f83d;2018-05-21;9
422879e10f46682990de24d770e7f83d;2018-05-28;2
422879e10f46682990de24d770e7f83d;2018-06-04;2
422879e10f46682990de24d770e7f83d;2018-06-11;1
422879e10f46682990de24d770e7f83d;2018-06-18;0
422879e10f46682990de24d770e7f83d;2018-06-25;8
422879e10f46682990de24d770e7f83d;2018-07-02;0
422879e10f46682990de24d770e7f83d;2018-07-09;2
422879e10f46682990de24d770e7f83d;2018-07-16;1
422879e10f46682990de24d770e7f83d;2018-07-23;2
422879e10f46682990de24d770e7f83d;2018-07-30;3
422879e10f46682990de24d770e7f83d;2018-08-06;2
422879e10f46682990de24d770e7f83d;2018-08-13;2
64315bd8c0c47303179dd2e25b579d00;2017-01-09;0
64315bd8c0c47303179dd2e25b579d00;2017-01-16;0
64315bd8c0c47303179dd2e25b579d00;2017-01-23;0
64315bd8c0c47303179dd2e25b579d00;2017-01-30;0
64315bd8c0c47303179dd2e25b579d00;2017-02-06;0
64315bd8c0c47303179dd2e25b579d00;2017-02-13;0
64315bd8c0c47303179dd2e25b579d00;2017-02-20;0
64315bd8c0c47303179dd2e25b579d00;2017-02-27;0
64315bd8c0c47303179dd2e25b579d00;2017-03-06;0
64315bd8c0c47303179dd2e25b579d00;2017-03-13;0
64315bd8c0c47303179dd2e25b579d00;2017-03-20;0
64315bd8c0c47303179dd2e25b579d00;2017-03-27;0
64315bd8c0c47303179dd2e25b579d00;2017-04-03;0
64315bd8c0c47303179dd2e25b579d00;2017-04-10;0
64315bd8c0c47303179dd2e25b579d00;2017-04-17;0
64315bd8c0c47303179dd2e25b579d00;2017-04-24;0
64315bd8c0c47303179dd2e25b579d00;2017-05-01;0
64315bd8c0c47303179dd2e25b579d00;2017-05-08;0
64315bd8c0c47303179dd2e25b579d00;2017-05-15;0
64315bd8c0c47303179dd2e25b579d00;2017-05-22;0
64315bd8c0c47303179dd2e25b579d00;2017-05-29;1
64315bd8c0c47303179dd2e25b579d00;2017-06-05;1
64315bd8c0c47303179dd2e25b579d00;2017-06-12;0
64315bd8c0c47303179dd2e25b579d00;2017-06-19;0
64315bd8c0c47303179dd2e25b579d00;2017-06-26;0
64315bd8c0c47303179dd2e25b579d00;2017-07-03;0
64315bd8c0c47303179dd2e25b579d00;2017-07-10;0
64315bd8c0c47303179dd2e25b579d00;2017-07-17;0
