product_id;product_category_name;distinct_order_ids;distinct_purchase_dates;max_purchase_date;distinct_purchase_weeks;max_purchase_week;count;relative_count;cumulative_relative_count;rank;cumulative_relative_products
aca2eb7d00ea1a7b8ebd4e68314663af;furniture_decor;425;171;2018-08-18;38;2018-08-13;520;1,3780310056976282;1,3780310056976282;1;0,08410428931875526
422879e10f46682990de24d770e7f83d;garden_tools;352;196;2018-08-14;58;2018-08-13;484;1,282628859149331;2,6606598648469593;2;0,16820857863751051
99a4788cb24856965c36a24e339b6058;bed_bath_table;456;263;2018-08-19;74;2018-08-13;477;1,2640784417649396;3,924738306611899;3;0,2523128679562658
389d119b48cf3043d311335e499d9c6b;garden_tools;309;189;2018-08-16;60;2018-08-13;390;1,0335232542732211;4,95826156088512;4;0,33641715727502103
368c6c730842d78016ad823897a372db;garden_tools;290;177;2018-08-16;56;2018-08-13;387;1,0255730753941963;5,983834636279316;5;0,42052144659377627
53759a2ecddad2bb87a079a1f1519f73;garden_tools;285;171;2018-08-12;60;2018-08-06;370;0,9805220617463892;6,964356698025705;6;0,5046257359125316
d1c427060a0f73f6b889a5c7c61f2ac4;computers_accessories;311;194;2018-08-14;68;2018-08-13;330;0,8745196766927257;7,838876374718431;7;0,5887300252312868
53b36df67ebb7c41585e8d54d6772e08;watches_gifts;304;113;2018-08-01;41;2018-07-30;321;0,8506691400556512;8,689545514774082;8;0,6728343145500421
154e7e31ebfa092203795c972e5804a6;health_beauty;262;189;2018-08-13;66;2018-08-13;274;0,7261163376175964;9,415661852391679;9;0,7569386038687973
3dd2a17168ec895c781a9191c1e95ad7;computers_accessories;253;132;2018-08-09;31;2018-08-06;272;0,7208162183649132;10,136478070756592;10;0,8410428931875525
2b4609f8948be18874494203496bc318;health_beauty;250;187;2018-08-16;67;2018-08-13;251;0,6651649662117397;10,801643036968331;11;0,9251471825063078
a62e25e09e05e6faf31d90c6ec1aa3d1;watches_gifts;170;119;2018-08-15;40;2018-08-13;224;0,5936133563005167;11,395256393268848;12;1,0092514718250631
7c1bd920dbdf22470b68bde975dd3ccf;health_beauty;213;174;2018-08-16;74;2018-08-13;219;0,5803630581688088;11,975619451437657;13;1,0933557611438183
e0d64dcfaa3b6db5c54ca298ae101d05;watches_gifts;192;116;2018-08-18;49;2018-08-13;192;0,5088114482575858;12,484430899695242;14;1,1774600504625736
bb50f2e236e5eea0100680137654686c;health_beauty;179;134;2018-08-18;46;2018-08-13;187;0,4955611501258778;12,97999204982112;15;1,2615643397813288
e53e557d5a159f5aa2c5e995dfdf244b;computers_accessories;154;97;2018-08-06;32;2018-08-06;181;0,47966079236782827;13,45965284218895;16;1,3456686291000841
42a2c92a0979a949ca4ea89ec5c7b934;housewares;154;90;2018-04-24;33;2018-04-23;177;0,4690605538624619;13,928713396051412;17;1,4297729184188395
b532349fe46b38fbc7bb3914c1bdae07;furniture_decor;74;65;2018-08-17;35;2018-08-13;166;0,4399098979727044;14,368623294024117;18;1,5138772077375946
35afc973633aaeb6b877ff57b2793310;home_confort;153;121;2018-08-13;61;2018-08-13;162;0,42930965946733807;14,797932953491454;19;1,59798149705635
19c91ef95d509ea33eda93495c4d3481;health_beauty;152;77;2018-08-19;22;2018-08-13;153;0,4054591228302637;15,203392076321718;20;1,682085786375105
a92930c327948861c015c919a0bcb4a8;watches_gifts;149;87;2018-08-17;35;2018-08-13;151;0,4001590035775805;15,6035510798993;21;1,7661900756938604
437c05a395e9e47f9762e677a7068ce7;health_beauty;137;70;2018-08-17;22;2018-08-13;151;0,4001590035775805;16,00371008347688;22;1,8502943650126156
6cdd53843498f92890544667809f1595;health_beauty;146;114;2018-08-17;58;2018-08-13;151;0,4001590035775805;16,40386908705446;23;1,9343986543313711
c4baedd846ed09b85f78a781b522f126;garden_tools;140;108;2018-08-12;55;2018-08-06;146;0,3869087054458725;16,790777792500332;24;2,0185029436501263
461f43be3bdf8844e65b62d9ac2c7a5a;watches_gifts;142;109;2018-08-05;47;2018-07-30;144;0,3816085861931893;17,17238637869352;25;2,1026072329688814
